CIUDADES,Santiago,Antofagasta,Vina del Mar,Valparaiso,Talcahuano,Temuco,Iquique,Concepcion,Rancagua,Talca,Arica,Coquimbo,Puerto Montt,La Serena,Chillan,Calama,Osorno,Valdivia
Santiago,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Antofagasta,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Vina del Mar,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talcahuano,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Temuco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Iquique,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Concepcion,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Rancagua,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Talca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Arica,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Coquimbo,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Puerto Montt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
La Serena,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Chillan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Calama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Osorno,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Valdivia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
